CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203903,Jordan Clarkson,1610612747,LAL,G,23.0,19,19,1.0,5.26,13.21,0.398,0.435,-0.037
201143,Al Horford,1610612737,ATL,C-F,29.0,21,21,1.0,6.05,13.19,0.458,0.46,-0.002
1626157,Karl-Anthony Towns,1610612750,MIN,C,20.0,18,18,1.0,5.33,13.06,0.409,0.468,-0.06
2547,Chris Bosh,1610612748,MIA,F,31.0,18,18,1.0,5.72,12.89,0.444,0.437,0.007
200794,Paul Millsap,1610612737,ATL,F,30.0,21,21,1.0,5.62,12.81,0.439,0.446,-0.007
202704,Reggie Jackson,1610612765,DET,G,25.0,20,20,1.0,5.75,12.7,0.453,0.44,0.013
201933,Blake Griffin,1610612746,LAC,F,26.0,20,20,1.0,5.75,12.7,0.453,0.455,-0.003
203500,Steven Adams,1610612760,OKC,C,22.0,19,19,1.0,5.47,12.63,0.433,0.455,-0.022
201583,Ryan Anderson,1610612740,NOP,F,27.0,19,19,1.0,5.68,12.58,0.452,0.447,0.004
202685,Jonas Valanciunas,1610612761,TOR,C,23.0,14,14,1.0,6.14,12.57,0.489,0.474,0.014
203952,Andrew Wiggins,1610612750,MIN,G-F,20.0,17,17,1.0,5.06,12.53,0.404,0.435,-0.032
202331,Paul George,1610612754,IND,F,25.0,19,19,1.0,4.58,12.53,0.366,0.433,-0.067
1495,Tim Duncan,1610612759,SAS,C-F,39.0,20,20,1.0,5.3,12.5,0.424,0.452,-0.028
2585,Zaza Pachulia,1610612742,DAL,C,31.0,20,20,1.0,5.8,12.5,0.464,0.469,-0.005
201960,DeMarre Carroll,1610612761,TOR,F,29.0,18,18,1.0,5.72,12.44,0.46,0.452,0.008
200746,LaMarcus Aldridge,1610612759,SAS,F,30.0,19,19,1.0,4.89,12.42,0.394,0.447,-0.053
203497,Rudy Gobert,1610612762,UTA,C,23.0,14,14,1.0,5.29,12.36,0.428,0.466,-0.038
203457,Nerlens Noel,1610612755,PHI,F-C,21.0,17,17,1.0,5.82,12.29,0.474,0.459,0.015
